BTS ASCII format															
															
Type:         	Emg tracks														
Measure unit: 	mV														
															
Tracks:       	14														
Frequency:    	1000 [Hz]														
Frames:       	11111														
Start time:   	0														
															
 Frame	  Time  	Right Rectus femoris  	Right Vastus medialis  	Right Vastus lateralis  	Right Tibialis anterior  	Right Biceps femoris caput longus  	Right Semitendinosus  	Right Gastrocnemius medialis  	Right Gastrocnemius lateralis  	Right Peroneus longus  	Right Soleus  	Right Erector spinae ileocostalis  	Right Tensor fasciae latae  	Right Gluteus maximus  	Right Gluteus medius
91	0.091	0.0241	-0.0156	-0.0541	0.0111	0.0165	-0.0048	0.0121	0.0151	-0.0013	-0.0154	-0.0164	-0.0106	0.0111	0.0093
92	0.092	0.026	-0.0262	-0.05	0.0119	0.013	-0.0039	0.0018	0.0125	0.0004	0.0018	-0.0142	-0.0245	0.0158	0.0047
93	0.093	0.0311	-0.0165	-0.0225	0.006	0.0033	0.0003	-0.019	0.0249	-0.0074	0.0039	-0.0123	-0.0112	0.0118	0.0087
94	0.094	0.0141	-0.0227	-0.0193	0.0066	-0.0054	-0.0113	-0.0581	0.0586	-0.0084	0.0099	-0.0038	-0.0059	0.0057	0.0025
95	0.095	0.0118	-0.0148	-0.0164	0.0059	-0.019	-0.0062	-0.0422	0.1119	-0.0054	-0.0031	0.0068	-0.0133	0.009	0.0081
96	0.096	0.0016	-0.0117	-0.0078	0.0016	-0.0116	-0.0108	-0.018	0.1049	-0.0008	-0.0184	-0.0028	-0.0254	0.0039	0.005
97	0.097	-0.0077	-0.0089	-0.005	0.0045	0.0176	0.0017	-0.0136	0.0725	0.0001	-0.0083	-0.004	-0.0301	0.0031	-0.0014
98	0.098	0.0075	-0.0217	0.0025	0.003	0.0214	0.0034	-0.0176	-0.0156	0.0038	-0.0028	-0.003	-0.013	-0.0011	0.0029
99	0.099	-0.0027	-0.0495	0.0094	-0.0021	0.0105	0.0079	-0.0067	-0.2051	0.0131	-0.0045	0.0107	-0.0106	0.0104	0.0022
100	0.1	0.0066	-0.0376	-0.021	-0.0015	0.0137	0.0038	0.003	-0.1239	0.0068	-0.0029	0.0235	0.0037	0.0122	0.0042
101	0.101	0.0151	-0.0267	-0.034	-0.0032	0.0165	0.0075	0.0118	-0.0502	0.0036	0.0069	0.0149	0.0094	0.0137	0.0047
102	0.102	0.0167	-0.0168	0.0022	0.0008	-0.0246	-0.005	0.0144	-0.0279	0.0006	0.0157	0.0163	0.0179	0.0151	0.0006
103	0.103	0.0099	-0.0139	0.0166	-0.0039	-0.0539	-0.0101	0.012	-0.0077	-0.0003	0.0233	0.0175	0.0011	0.0088	0.0064
104	0.104	0.0138	0.0053	0.0121	-0.0057	-0.0058	0.0038	0.0054	-0.0262	0.0005	0.0075	0.0036	-0.0053	0.0033	-0.0006
105	0.105	0.0128	0.0226	0.0004	-0.0052	0.0006	0.0019	0.0073	-0.0094	-0.0032	-0.026	-0.0094	0.0173	0.0043	0.0003
106	0.106	0.0014	0.0339	-0.0028	-0.0068	-0.0169	0.0036	-0.002	0.0058	-0.0012	-0.0499	-0.011	0.0144	0.0035	0.0011
107	0.107	-0.0031	0.036	0.0076	0.0001	-0.0117	-0.001	-0.0003	0.0196	-0.0007	-0.0277	-0.0125	0.0118	-0.0007	0.0048
108	0.108	-0.0156	0.0342	0.0229	-0.0052	0.0125	-0.0024	0.0102	0.0321	-0.0035	0.0001	0.0083	0.0143	-0.0028	0.0028
109	0.109	-0.014	0.0461	0.0151	-0.0025	0.0344	0.0064	0.0088	-0.0024	-0.002	0.0036	0.0054	0.0079	-0.0034	-0.0014
110	0.11	-0.0155	0.0356	0.0175	-0.0051	0.0143	0.0008	-0.0076	-0.0127	-0.0062	0.0331	0.0027	-0.006	-0.0051	-0.0066
111	0.111	-0.0059	0.0287	0.0287	-0.003	0.0107	0.0039	-0.0054	-0.0033	0.0003	0.0445	0.0004	-0.015	-0.0091	-0.0045
112	0.112	0.013	0.0149	0.0185	0.0076	0.0204	0.0084	-0.0116	0.0052	0.0062	-0.003	0.0069	-0.0164	-0.0168	-0.0062
