permutation,null_pearson_r
419,-0.4241806061690719
420,-0.6918713432839964
421,-0.5643224457080053
422,-0.27909182914777975
423,0.1945767293026194
424,-0.25739952861546256
425,-0.9999996355368657
426,-0.9999999953884326
427,0.11229317783915597
428,0.4264106154156075
429,-0.6347709434088202
430,-0.9999604642424708
431,0.20586607503298301
432,-0.4039445409794969
433,-0.047957334458550355
434,-0.06541339404908413
435,-0.051141115334336684
436,0.04544027741149297
437,-0.472343642382976
438,-0.45134409494737576
439,0.31736286405232056
440,-0.9999996669990896
441,-0.378412173925343
442,-0.3077105068247577
443,0.2792729403359675
444,-0.999999002085193
445,-0.7529334121313345
446,0.23530383424915752
447,-0.4439129901686862
448,-0.999997263032393
449,-0.9991419894129985
450,-0.03815018639028865
451,-0.656068979392429
452,-0.47435145826249986
453,-0.624611561173582
454,-0.35477684614529836
455,-0.5197299714778881
456,0.3857160999655717
457,-0.4627106669074624
458,-0.9999996319481275
459,-0.24725412490284615
460,0.3432642621470891
461,0.2908824087025282
462,0.24994767830223705
463,-0.030311547505176326
464,-0.6046712098058848
465,-0.5291674979252186
466,-0.5205843408226265
467,-0.7827182972779393
468,-0.39125784526190577
469,0.1235996133865784
470,-0.9453146167413569
471,-0.38390407797122594
472,-0.48595763232444344
473,0.2401710711811087
474,0.22374536694308997
475,-0.3589886039852638
476,0.3677321580464476
477,-0.989695231216343
478,-0.44274355052719805
479,-0.9999998757850092
480,-0.9999998789549771
481,0.008527819738924042
482,0.34600012181164924
483,-0.9999998231939031
484,0.09696718888403053
485,0.14396380162634834
486,-0.4551559127275664
487,0.3451471027036207
488,-0.022628466906094324
489,-0.9965294939666665
490,0.20022957757236912
491,-0.5403191036059141
492,-0.36582893946369544
493,-0.6827890802663781
494,-0.4466218574183339
495,-0.5405611938069068
496,-0.5719653575932133
497,0.11135970534639617
498,-0.4897977871932272
499,-0.3897766730131199
500,-0.12129912184925848
